Model,Params,Train_RMSE,Train_MAE,Train_R2,Val_RMSE,Val_MAE,Val_R2,Time,Features_Selected,R2_Gap,Overfitting
xgboost_fast,"{""n_estimators"": 1000, ""learning_rate"": 0.03, ""max_depth"": 3}",14632.849490311977,9389.713812785378,0.9647332258467679,24535.185923839224,15290.404366438383,0.9140686950683016,0.6559479236602783,,0.05066453077846633,⚠️ Moderate
xgboost_random,"{""colsample_bytree"": 0.8570351922786027, ""learning_rate"": 0.02798695128633439, ""max_depth"": 3, ""n_estimators"": 743, ""reg_lambda"": 7.146901982034297, ""subsample"": 0.7092900825439995}",15329.495769683634,9601.212303795648,0.9612953035897953,25163.367912086436,15481.64015410962,0.909612112763594,19.93577480316162,,0.05168319082620132,⚠️ Moderate
ridge_poly,"{""alpha"": 30.07882518043102}",20597.10098172458,12443.144727476365,0.9301252733537528,25424.571060354378,15591.806823001349,0.9077258677992015,9.763442039489746,,0.022399405554551333,✅ OK
ridge,"{""alpha"": 4.961947603002898}",28345.170360442036,15871.060218996576,0.8676676367035853,28290.217096933666,16709.45017048619,0.8857528800782349,3.3370440006256104,,-0.018085243374649673,✅ OK
linear,{},27939.09741498705,15552.033988527864,0.8714320647609176,29339.20717678872,17164.138434331737,0.877123325847404,0.011296987533569336,,-0.005691261086486432,✅ OK
lasso,"{""alpha"": 0.0013503140378698722}",28366.727481232723,15832.773417305069,0.8674662768616143,29816.42336551414,17039.723798000377,0.8730935215463904,0.47621583938598633,,-0.005627244684776156,✅ OK
lasso_poly,"{""alpha"": 0.01}",28819.787409773726,16811.98719141467,0.8631989372427047,31268.453029622302,17872.855156201866,0.860432116904364,15.467057228088379,46/3403,0.0027668203383406365,✅ OK
linear_poly,{},1.1657892214759121e-09,7.448520736777347e-10,1.0,39586.33009054587,26709.38444721288,0.7763014424732121,0.6495091915130615,,0.2236985575267879,⚠️ High
